3ds-box2d 2.4.1-1
3ds-bulletphysics 2.87-5
3ds-bzip2 1.0.8-1
3ds-cmake 1.5.2-1
3ds-curl 8.4.0-1
3ds-examples 20240917-1
3ds-flac 1.3.4-1
3ds-flite 2.1-2
3ds-freetype 2.14.1-1
3ds-giflib 5.1.4-3
3ds-jansson 2.13-1
3ds-libarchive 3.7.4-1
3ds-libconfig 1.7.2-3
3ds-libfribidi 1.0.12-1
3ds-libiconv 1.17-1
3ds-libid3tag 0.15.1b-2
3ds-libjpeg-turbo 3.1.3-1
3ds-libjson-c 0.16-1
3ds-liblua51 5.1.5-1
3ds-liblzma 5.8.2-1
3ds-libmad 0.15.1b-2
3ds-libmodplug 0.8.9.0-1
3ds-libogg 1.3.6-1
3ds-libopus 1.4-1
3ds-libpng 1.6.53-1
3ds-libsidplay 1.36.60-1
3ds-libtheora 1.2.0alpha1-2
3ds-libvorbisidec 1.2.1-3
3ds-libxmp 4.6.0-1
3ds-libzstd 1.5.5-2
3ds-lz4 1.9.3-1
3ds-mbedtls 2.28.8-1
3ds-mikmod 3.3.13-1
3ds-mpg123 1.31.3-3
3ds-opusfile 0.11-1
3ds-physfs 3.2.0-2
3ds-pkg-config 0.28-5
3ds-sdl 1.2.15-19
3ds-sdl_gfx 2.0.25-2
3ds-sdl_image 1.2.12-3
3ds-sdl_mixer 1.2.12-9
3ds-sdl_ttf 2.0.11-2
3ds-tinyxml2 6.0.0-2
3ds-wildmidi 0.4.3-2
3ds-wslay 1.1.1-1
3ds-yaml_cpp 0.8.0-1
3ds-zlib 1.3.1-1
3dstools 1.3.1-3
citro2d 1.7.0-1
citro3d 1.7.1-2
devkitARM r68-1
devkitARM-gdb 14.1-1
libctru 2.7.0-1
arm-none-eabi-gcc (devkitARM) 16.1.0
